0	0	5
0	1	4
1	2	5
1	3	4
2	4	3
2	5	5
3	6	4
4	7	4
4	8	5
4	9	2
4	10	5
4	11	3
5	12	4
5	13	4
5	14	5
5	15	3
6	16	3
6	17	3
6	18	4
6	19	5
6	20	4
6	21	5
6	22	5
7	23	5
7	24	5
8	25	5
8	0	3
8	26	3
8	27	5
8	28	3
8	29	4
8	30	4
9	31	4
9	32	4
10	33	3
11	34	5
12	35	3
12	36	4
12	37	4
12	38	3
12	39	5
13	40	4
13	41	4
13	42	5
13	43	1
14	44	5
14	45	5
14	46	4
14	47	5
15	48	3
15	49	4
16	50	4
16	51	3
16	52	4
16	53	4
17	54	4
18	55	5
18	56	4
18	57	5
18	58	4
18	59	4
18	60	4
18	61	4
19	62	5
19	63	5
19	64	4
19	65	5
20	58	4
21	66	5
22	67	5
22	68	3
23	69	3
23	70	4
23	71	4
23	72	3
23	16	4
23	73	3
23	74	5
23	75	5
23	76	5
23	77	4
23	78	5
23	79	5
23	80	4
23	81	3
23	82	3
23	83	3
23	84	3
23	85	1
23	86	4
23	87	4
23	88	4
23	89	4
23	90	1
24	91	3
25	92	4
25	93	2
25	94	4
25	95	4
26	96	4
26	97	4
26	98	5
26	99	4
26	100	4
26	101	4
27	102	4
27	103	4
27	104	5
27	105	4
27	106	5
27	17	5
28	107	4
28	108	4
28	109	5
28	110	5
28	111	4
28	112	5
28	113	5
29	114	4
29	115	5
30	116	5
31	117	4
31	118	3
31	119	3
32	120	4
32	121	3
32	122	4
32	123	3
33	124	3
34	125	4
34	126	2
35	65	4
36	127	5
36	128	5
37	129	4
37	67	4
37	130	4
37	131	5
37	132	4
37	133	5
37	134	4
38	135	3
38	136	4
39	137	3
39	138	3
39	139	4
39	140	3
39	141	4
40	142	5
40	143	4
40	81	4
41	144	4
41	145	3
41	146	5
41	147	4
41	148	5
41	149	3
42	150	3
43	151	4
43	152	5
43	153	4
43	154	5
43	155	5
44	156	4
44	157	4
44	158	4
45	159	5
45	160	5
45	161	5
45	162	5
46	163	4
46	22	4
46	164	4
47	165	4
47	166	4
47	167	4
47	168	4
47	169	4
47	170	4
47	171	4
47	172	5
47	173	4
47	174	5
48	175	5
49	176	4
49	177	4
49	99	4
49	178	2
50	179	4
51	180	4
51	181	4
52	182	5
52	183	3
53	184	4
53	185	3
54	186	4
55	187	4
56	188	4
56	189	3
56	190	4
57	191	4
58	5	4
58	192	4
59	0	4
59	193	4
59	72	2
59	194	2
59	195	3
59	196	4
60	197	3
61	198	3
62	129	4
63	109	5
63	199	5
63	77	5
63	200	4
64	201	5
64	23	5
64	202	5
64	203	5
65	72	4
65	204	4
65	205	5
65	206	3
66	207	3
66	208	3
66	209	3
66	210	4
66	211	5
67	212	3
68	213	5
69	214	3
69	215	5
70	216	5
70	217	4
70	65	5
70	218	5
71	219	5
72	220	5
73	221	5
73	222	5
74	223	3
75	224	5
76	225	5
76	226	3
76	183	3
76	227	5
76	228	5
76	229	5
77	230	4
78	231	5
78	232	4
78	233	3
79	234	4
80	235	5
80	236	4
80	237	4
80	238	5
80	239	4
80	240	3
81	241	5
81	242	3
81	204	5
81	243	4
81	244	4
82	245	3
82	246	4
82	247	4
82	248	5
82	91	5
82	249	4
82	250	4
82	251	5
82	252	3
82	253	4
82	254	3
82	255	3
82	256	4
83	257	4
83	258	4
83	259	4
83	81	3
83	20	4
83	260	4
